age,storeys,score,latitude,longitude,graffiti,cladding,grounds,walkways
63,6,65,43.756840819,-79.241965176,5,4,3,4
68,6,64,43.701461008,-79.440472942,3,3,3,3
59,6,71,43.7402066562,-79.2449174192,5,3,3,4
59,6,73,43.7404592839,-79.2437182596,5,3,3,3
44,26,70,43.662243751,-79.381865281,5,3,3,4
30,8,73,43.6627856598,-79.378610577,5,4,4,4
82,4,62,43.7014864975,-79.4251602874,4,3,3,3
60,10,62,43.6370713769,-79.4279645858,5,3,2,3
55,14,74,43.650817742,-79.40050764,5,4,3,4
61,4,63,43.6896667969,-79.4134939158,5,3,3,3
34,8,71,43.7332452174,-79.2592760831,5,3,3,3
52,4,64,43.7210593551,-79.5047297893,4,4,3,3
44,19,68,43.6448379761,-79.5277127601,5,3,3,3
44,13,62,43.6449745319,-79.5285857923,3,3,3,3
61,19,64,43.646310516,-79.530501016,4,4,3,3
65,6,65,43.7281374387,-79.2656668508,5,3,3,3
69,3,67,43.7197822126,-79.4809670632,4,4,3,4
31,9,81,43.658277925,-79.446387674,5,4,4,4
56,23,70,43.686628503,-79.4207223391,4,3,3,4
64,3,64,43.7092676432,-79.2670048703,5,3,3,3
57,3,60,43.6504707673,-79.4188998818,5,3,3,3
88,4,63,43.6893015336,-79.4133235428,5,3,3,3
61,7,64,43.703946444,-79.424475355,5,3,3,3
34,3,81,43.6771456368,-79.3445056015,5,4,4,4
43,12,80,43.653809037,-79.38976073,5,4,4,4
65,5,76,43.7343053211,-79.307065705,5,4,4,3
55,19,71,43.7902546466,-79.4177286327,5,3,3,4
73,4,62,43.6846976154,-79.4212142152,5,3,3,3
66,6,59,43.6887295073,-79.4136144798,3,3,3,3
55,12,68,43.682026489,-79.565970029,5,4,4,3
70,4,59,43.701599074,-79.527506087,5,2,3,3
44,5,76,43.656896921,-79.40179055,4,4,3,4
55,16,63,43.6836537858,-79.5686665938,5,3,3,3
29,11,57,43.7006762308,-79.5253118023,2,3,3,4
28,3,76,43.663039249,-79.32501186,5,4,4,4
56,3,59,43.6458748737,-79.4493623432,5,3,3,3
54,3,59,43.6460815748,-79.4494284901,5,3,3,3
32,12,76,43.6539203787,-79.3892195078,4,4,3,4
30,6,81,43.6797322246,-79.3217059206,5,4,4,4
55,12,64,43.682156045,-79.5643051616,5,3,4,3
40,11,63,43.6445845561,-79.40368311,3,3,3,3
